customer_id,first_order_date
CUST157,2024-01-03
CUST013,2024-04-30
CUST181,2024-01-03
CUST185,2024-03-04
CUST028,2024-06-20
CUST175,2024-05-05
CUST012,2024-02-15
CUST169,2024-02-05
CUST059,2024-02-21
CUST006,2024-01-18
CUST057,2024-01-16
CUST085,2024-03-16
CUST103,2024-02-16
CUST139,2024-04-18
CUST142,2024-03-28
CUST034,2024-01-14
CUST001,2024-04-12
CUST065,2024-01-03
CUST180,2024-03-06
CUST035,2024-05-31
CUST117,2024-06-13
CUST005,2024-03-16
CUST041,2024-01-25
CUST146,2024-01-21
CUST102,2024-01-14
CUST131,2024-01-20
CUST138,2024-03-29
CUST141,2024-02-17
CUST136,2024-05-18
CUST066,2024-02-18
CUST149,2024-01-31
CUST054,2024-01-09
CUST119,2024-01-31
CUST040,2024-02-06
CUST031,2024-03-14
CUST025,2024-02-28
CUST167,2024-01-06
CUST097,2024-03-04
CUST076,2024-01-14
CUST143,2024-01-26
CUST015,2024-04-15
CUST009,2024-06-01
CUST030,2024-01-01
CUST168,2024-05-02
CUST082,2024-04-20
CUST086,2024-02-08
CUST092,2024-01-09
CUST125,2024-05-21
CUST156,2024-04-23
CUST116,2024-01-09
CUST153,2024-02-06
CUST074,2024-02-01
CUST078,2024-04-08
CUST079,2024-04-29
CUST158,2024-03-20
CUST193,2024-05-11
CUST200,2024-01-29
CUST064,2024-06-08
CUST069,2024-01-21
CUST126,2024-01-31
CUST120,2024-06-21
CUST094,2024-04-03
CUST071,2024-02-21
CUST190,2024-02-06
CUST075,2024-04-30
CUST060,2024-01-10
CUST199,2024-03-19
CUST145,2024-02-25
CUST058,2024-06-20
CUST135,2024-03-25
CUST173,2024-02-19
CUST073,2024-03-26
CUST152,2024-02-14
CUST183,2024-04-23
CUST166,2024-02-03
CUST112,2024-03-03
CUST045,2024-01-29
CUST070,2024-04-04
CUST008,2024-01-24
CUST154,2024-04-21
CUST194,2024-04-10
CUST067,2024-02-09
CUST104,2024-01-04
CUST091,2024-01-19
CUST046,2024-01-28
CUST189,2024-01-20
CUST088,2024-03-05
CUST188,2024-01-06
CUST123,2024-03-13
CUST107,2024-04-22
CUST033,2024-02-13
CUST108,2024-01-10
CUST110,2024-02-08
CUST068,2024-02-02
CUST027,2024-03-21
CUST122,2024-02-15
CUST047,2024-05-08
CUST038,2024-01-01
CUST162,2024-01-07
CUST191,2024-04-03
CUST014,2024-05-20
CUST129,2024-05-10
CUST016,2024-01-22
CUST140,2024-02-25
CUST161,2024-02-13
CUST022,2024-06-05
CUST048,2024-04-20
CUST160,2024-02-25
CUST101,2024-01-10
CUST178,2024-06-18
CUST039,2024-01-16
CUST164,2024-05-15
CUST044,2024-06-02
CUST072,2024-01-02
CUST052,2024-04-02
CUST159,2024-03-08
CUST124,2024-03-04
CUST011,2024-01-07
CUST195,2024-04-08
CUST197,2024-03-15
CUST055,2024-02-03
CUST134,2024-04-15
CUST128,2024-06-22
CUST098,2024-01-20
CUST096,2024-02-29
CUST130,2024-02-16
CUST007,2024-02-02
CUST144,2024-03-25
CUST049,2024-03-12
CUST182,2024-01-25
CUST099,2024-01-30
CUST174,2024-01-25
CUST148,2024-03-23
CUST002,2024-04-11
CUST083,2024-01-23
CUST118,2024-05-01
CUST179,2024-01-18
CUST151,2024-03-03
CUST062,2024-01-22
CUST133,2024-03-11
CUST026,2024-02-14
CUST004,2024-01-31
CUST198,2024-01-21
CUST111,2024-02-22
CUST084,2024-04-24
CUST165,2024-02-03
CUST024,2024-03-07
CUST021,2024-03-11
CUST121,2024-01-18
CUST170,2024-01-21
CUST061,2024-01-27
CUST184,2024-02-25
CUST003,2024-01-14
CUST100,2024-03-20
CUST089,2024-01-03
CUST106,2024-03-27
CUST150,2024-01-24
CUST019,2024-01-20
CUST177,2024-02-20
CUST147,2024-02-10
CUST176,2024-04-05
CUST109,2024-01-13
CUST087,2024-01-25
CUST187,2024-03-13
CUST132,2024-05-03
CUST037,2024-05-14
CUST137,2024-01-02
CUST023,2024-02-15
CUST113,2024-02-04
CUST127,2024-03-07
CUST186,2024-02-03
CUST053,2024-02-13
CUST080,2024-04-13
CUST115,2024-01-06
CUST163,2024-02-04
CUST077,2024-01-26
CUST018,2024-04-01
CUST093,2024-02-18
CUST105,2024-02-23
CUST036,2024-05-02
CUST155,2024-05-06
CUST032,2024-02-02
CUST020,2024-01-13
CUST063,2024-01-15
CUST095,2024-01-07
CUST050,2024-02-06
CUST042,2024-04-07
CUST171,2024-05-05
CUST056,2024-04-29
CUST114,2024-02-21
CUST090,2024-01-15
CUST081,2024-03-15
CUST051,2024-02-15
CUST029,2024-02-07
CUST172,2024-01-25
CUST010,2024-03-16
CUST043,2024-02-06
CUST196,2024-03-02
CUST192,2024-01-02
CUST017,2024-01-11